role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
90d0d921-0a5c-5cf6-9794-39a7cefef9ba,112,10123,1,1028001000,EDUCATIONAL PRACTICE AND DEVELOPMENT,Sub-family,Yes,,1
1077e01b-0bce-5e4a-a8b0-9e4901841797,114,10125,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
b353ba83-5c30-51eb-876a-e8ee02a6c0a7,115,10125,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
a1ac3180-fe64-5015-9c93-124f3de63e44,116,10126,1,1015000000,INFRASTRUCTURE,Job Family,Yes,,1
0974028d-37e6-5227-acbf-fe5e81de49de,120,10130,1,1009002003,VIDEO PRODUCTION,Specialisation,Yes,,1
38da8bf4-cf09-587f-9e4f-fcfef6a637d3,121,10131,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
38da8bf4-cf09-587f-9e4f-fcfef6a637d3,121,10131,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
97b6666e-88b1-5cdc-9ea4-66c7cf70bd23,122,10131,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
97b6666e-88b1-5cdc-9ea4-66c7cf70bd23,122,10131,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
b808f9e7-2a67-583c-9654-0ae8f98f5d5f,123,10132,1,1006000000,CHILDREN’S CENTRES,Job Family,Yes,,1
dbb1bd74-3454-5e56-b521-aec63c5140d2,124,10133,1,1022004000,INDUSTRY ENGAGEMENT,Sub-family,Yes,,1
a4f2941d-f634-59bc-af3e-36889647eddd,125,10134,1,1014010000,WORK HEALTH AND SAFETY,Sub-family,Yes,,1
f3efedf2-67dd-505c-898a-676e56d7700f,127,10137,1,1024002000,COUNSELLING AND CAREER SUPPORT,Sub-family,Yes,,1
06efc8aa-9454-5c49-a901-171907f0ef5e,128,10138,1,1023001000,STUDENT ENGAGEMENT,Sub-family,Yes,,1
dcd094d5-ea01-58d5-8e75-3ef1c2237077,129,10139,1,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
dcd094d5-ea01-58d5-8e75-3ef1c2237077,129,10139,2,1002003000,EDUCATION PLANNING,Sub-family,Yes,,1
a68747f0-2c85-5347-8f4f-b4186959521e,130,10140,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
87080c39-f49e-5e09-a237-fb7be9b85df3,132,10142,1,1029005003,FINANCE BUSINESS PARTNERING,Specialisation,Yes,,1
59316c2f-1bfd-5af0-9ee8-b3e133b20fa4,133,10143,1,1029005000,FINANCE ANALYSIS AND ADVISORY,Sub-family,Yes,,1
904d04d8-7f55-5703-8278-4f9b2a00c675,134,10145,1,1014000000,HUMAN RESOURCES,Job Family,Yes,,1
b6ead2a5-38cb-5972-9b92-0a2d457bf176,139,10149,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
23a852c2-4a9d-5fb8-8f28-5f8133f4cc38,140,10150,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
23a852c2-4a9d-5fb8-8f28-5f8133f4cc38,140,10150,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
b9f14d73-eb73-5791-8ba1-d21b49611cf7,141,10150,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
b9f14d73-eb73-5791-8ba1-d21b49611cf7,141,10150,1,1023003001,STUDENT RECRUITMENT (DOMESTIC),Specialisation,Yes,,1
527145fb-7f97-5e5b-b38e-bc9d995de25b,142,10151,1,1010004002,INVESTIGATIONS,Specialisation,Yes,,1
7496edbc-cc85-520a-9f5b-c20200b1dfe3,144,10154,1,1023002002,ENQUIRIES AND STUDENT ADMINISTRATION (INTERNATIONAL),Specialisation,Yes,,1
273fceae-003a-5ee1-948c-55a81ec26cce,147,10157,1,1025002000,STRATEGIC RESEARCH AND ANALYSIS,Sub-family,Yes,,1
273fceae-003a-5ee1-948c-55a81ec26cce,147,10157,2,1000001000,ANALYTICS,Sub-family,Yes,,1
273fceae-003a-5ee1-948c-55a81ec26cce,147,10157,3,1020003000,MARKET RESEARCH AND ANALYSIS,Sub-family,Yes,,1
863da127-fd44-52f8-a427-062a744d01be,149,10159,1,1018001001,BIDS AND TENDERS,Specialisation,Yes,,1
8f8203cd-4668-56aa-b8c2-c0ebb890b2fd,152,10163,1,1009002001,DESIGN AND VISUAL COMMUNICATION,Specialisation,Yes,,1
a807b58f-e4af-5716-b99a-809838deab6b,154,10165,1,1028003002,LEARNING FACILITATION SUPPORT,Specialisation,Yes,,1
32e50199-3ee0-5c59-8acb-38432c143c02,157,10168,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,PD suggests its class support focused,1
e367676d-86da-5cae-87c7-d7f964d59436,158,10169,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
beae346b-31fe-5528-add5-3cc70cf2afd5,161,10173,1,1002002000,FACULTY OPERATIONS,Sub-family,Yes,,1
c73a42ef-f0a2-5810-a90a-4bfb7e03a880,163,10175,1,1020002000,INTEGRATED MARKETING,Sub-family,Yes,,1
db23e380-f8b6-55fc-86c7-f2cc0da858fc,164,10176,1,1028001000,EDUCATIONAL PRACTICE AND DEVELOPMENT,Sub-family,Yes,,1
8e6ee418-620f-56dc-b355-b3484f368ed6,165,10177,1,1030008001,HELP DESK/TECHNICAL SUPPORT,Specialisation,Yes,,1
f90aded9-88c1-57f8-a45d-eee5733860db,166,10178,1,1023001000,STUDENT ENGAGEMENT,Sub-family,Yes,,1
b61e0d29-cd4b-530a-b936-438266ab8a58,167,10179,1,1023002001,ENQUIRIES AND STUDENT ADMINISTRATION (DOMESTIC),Specialisation,Yes,PD suggests administration focused,1
cec2fca0-0fdc-5aff-9299-f6e75b46e9d9,169,10182,1,1009001002,TECHNICAL WRITING,Specialisation,Yes,,1
e10b8809-cd93-5183-9011-158ededeb29d,170,10183,1,1020002000,INTEGRATED MARKETING,Sub-family,Yes,,1
e95dbf4f-760b-57a1-ba19-05220139d304,171,10184,1,1014010004,WHS ADVISORY/OPERATIONS,Specialisation,Yes,,1
26543fe5-ee16-5fe2-a957-b1234a9ca358,172,10185,1,1028003001,TECHNICAL AND LEARNING ENVIRONMENTS,Specialisation,Yes,,1
